Artist Name,Popularity,danceability,energy,key,loudness,mode,speechiness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
"IndianRaga, Akshay Anantapadmanabhan, Madhu Iyer, Sri Poornima Krishna Emani",,548,711,10.0,-8.44,1,107,355,618,119675,4.015633333,3,Rock
MC Hammer,73,867,517,11.0,-13222,0,0.0875,0.0864,866,133148,257360.0,4,Country
duendita,35,341,0.47,5.0,-10144,1,37,518,203,144109,204280.0,4,Indie
Rainbow,66,733,726,7.0,-6514,1,0.0371,471,915,120814,197160.0,4,Instrumental
fijitrip,30,696,661,6.0,-5996,1,0.0877,114,397,121032,180822.0,4,Blues
Machine Gun Kelly,81,517,848,10.0,-4054,1,0.0521,214,429,95906,188779.0,4,Country
ShittyCT,4,437,948,5.0,-4287,0,92,0.0876,517,170023,180293.0,4,Blues
Tetrarch,49,384,974,1.0,-3647,0,141,226,155,194842,247370.0,4,Instrumental
Dreezy,42,858,525,,-7332,1,148,197,351,170875,193962.0,4,Alt_Music
The Ayoub Sisters,16,297,0.0958,,-20316,1,0.0384,126,296,80672,3.503783333,4,Acoustic/Folk
Brandon Jack & The Artifacts,29,516,948,2.0,-3994,1,0.0644,0.15,957,170087,130329.0,4,Indie
Moon Guitar,47,0.32,242,,-15.17,1,0.0422,165,431,81.09,2.817633333,4,Acoustic/Folk
Ivri Lider,47,661,407,4.0,-9283,1,0.0412,115,337,127873,216695.0,4,Country
Vieux Farka Tour√©,37,569,751,7.0,-12826,1,0.0418,0.0561,758,105156,338292.0,4,Pop
Kvelertak,44,357,977,1.0,-6489,0,124,105,0.28,159.81,233929.0,4,Instrumental
Better Than Ezra,63,615,657,7.0,-6873,1,29,132,792,109.95,185093.0,4,Bollywood
Lior Narkis,44,479,444,,-6497,1,0.0316,141,236,107915,174242.0,4,Country
Silversun Pickups,65,633,831,4.0,-5053,1,0.0461,117,243,127397,354360.0,4,Bollywood
Lilly Wood and The Prick,,618,438,11.0,-7495,1,0.0762,0.5,651,155014,209307.0,4,Blues
Orange Juice,55,881,546,7.0,-9357,1,0.0407,0.0497,852,102814,320413.0,4,Blues
U2,49,624,528,9.0,-9103,0,0.0344,0.0866,0.33,120049,285933.0,4,Bollywood
Omer Adam,37,607,503,2.0,-7406,1,0.0703,173,473,135606,205040.0,4,Country
The Clash,56,799,789,,-8208,1,0.0395,0.0338,831,116083,333520.0,4,Bollywood
Victor Manu,47,494,0.0634,2.0,-19203,1,44,0.11,0.15,78227,3.014916667,4,Acoustic/Folk
The Last Shadow Puppets,49,0.52,642,9.0,-7546,1,0.0434,0.0794,449,88967,180968.0,4,Bollywood
Anne-Marie,48,595,759,11.0,-4245,0,0.0423,172,515,80953,163733.0,4,Country
How Lucky,,523,441,5.0,-9928,1,0.0311,365,0.49,171246,3.385116667,4,Rock
Sly & The Family Stone,28,566,943,,-10359,1,123,728,324,117813,403027.0,4,Bollywood
Veruca Salt,47,612,0.86,8.0,-9175,1,44,158,687,136212,196467.0,4,Indie
Juice WRLD,77,0.63,446,1.0,-8.9,1,0.0351,166,177,143078,202193.0,4,Alt_Music
BENEE,53,521,532,9.0,-11492,0,0.0357,386,326,95.19,180533.0,4,Country
Berry Sakharof,18,501,474,2.0,-13893,1,0.0299,147,281,102404,352267.0,4,Bollywood
Ganser,9,185,865,9.0,-10522,1,0.0576,112,0.0789,84031,207465.0,3,Blues
Dion,34,532,685,4.0,-6577,0,0.0318,303,648,140036,288071.0,4,Pop
Nick Cave & The Bad Seeds,41,415,0.94,,-4874,1,0.0889,144,439,134392,225627.0,4,Indie
Soen,49,425,403,4.0,-9343,0,0.0273,113,135,155761,323931.0,4,Bollywood
Vani Jairam,20,373,707,1.0,-9566,0,0.0562,361,0.75,89.1,3.578883333,4,Metal
Liam Gallagher,59,0.39,646,6.0,-3961,1,0.0372,114,271,120755,213677.0,4,Bollywood
The Pretty Things,38,439,795,2.0,-9424,1,0.0314,296,789,84846,212067.0,4,Blues
Tha Dogg Pound,56,827,532,2.0,-4775,1,302,127,694,87257,290440.0,4,Alt_Music
BLAB,26,709,685,2.0,-7573,1,0.0281,0.0389,0.7,129987,194567.0,4,Indie
Mighty Sam McClain,41,583,143,,-15786,1,148,117,533,156009,371496.0,3,Pop
Trillary Banks,35,704,579,6.0,-9331,1,418,139,712,142815,176667.0,4,Alt_Music
El Goodo,30,247,0.88,2.0,-3057,1,97,122,333,134445,237493.0,4,Bollywood
Keb' Mo',54,801,637,,-6406,1,0.0565,0.0925,769,77012,218360.0,4,Pop
Why Bonnie,24,539,578,4.0,-8522,1,0.0278,0.28,353,102.03,191890.0,4,Bollywood
Snoop Dogg,63,907,695,11.0,-6268,0,135,0.0808,961,101007,298307.0,4,Alt_Music
MOD SUN,68,667,636,8.0,-5669,1,82,0.0908,152,158058,151891.0,4,Bollywood
Turbo Knight,43,436,944,10.0,-7981,1,0.0398,105,588,110002,307545.0,4,Blues
The Black Crowes,41,366,662,4.0,-4914,1,34,0.0594,362,148.34,284000.0,3,Bollywood
"Britney Spears, will.i.am",41,777,0.71,,-4717,1,0.0919,192,673,129945,4.747333333,4,Country
Radiohead,57,0.54,847,11.0,-6.52,1,0.0297,109,0.62,148936,220609.0,4,Bollywood
Oceans,42,435,889,11.0,-6462,0,0.0474,0.87,344,93896,198345.0,4,Instrumental
Arctic Monkeys,79,288,758,6.0,-5692,0,0.0371,303,619,97094,201726.0,4,Bollywood
The Stranglers,71,562,383,6.0,-15474,1,0.0304,138,599,93764,206760.0,3,Bollywood
Itay Levi,33,683,347,1.0,-10392,1,0.0473,0.0907,437,80009,157630.0,4,Country
Joe Bonamassa,44,411,0.91,2.0,-4867,1,0.0392,0.0931,613,106675,230027.0,4,Bollywood
LeRoi Thirteen,41,0.49,974,8.0,-4295,1,115,336,257,108946,229617.0,4,Instrumental
Us The Duo,55,374,0.35,10.0,-11.48,1,176,188,129,74464,3.81156667,1,Rock
Keller Williams,43,633,194,8.0,-14543,1,0.0729,111,421,143376,348383.0,4,Pop
Primal Scream,63,523,0.76,5.0,-12437,1,0.0325,0.0666,581,94267,228267.0,4,Bollywood
Lil Son Jackson,35,593,438,10.0,-13451,0,28,317,758,130225,136560.0,3,Pop
Drake,81,809,463,11.0,-11377,1,0.0396,109,364,111.98,4.98235,4,Country
Abstract Orchestra,45,748,411,8.0,-6.06,0,0.0489,115,339,91941,145052.0,4,Alt_Music
Luther Allison,13,529,595,2.0,-13696,1,0.0375,0.0326,767,134642,187827.0,4,Pop
Elena Falwell,41,167,148,,-19539,1,0.0347,111,0.04,76412,2.7204,3,Acoustic/Folk
Sharon Van Etten,51,543,927,,-5209,1,0.0755,0.0327,354,120097,182333.0,4,Bollywood
beabadoobee,41,644,891,2.0,-5147,1,0.0526,118,504,110007,239488.0,4,Bollywood
R.E.M.,62,467,432,7.0,-11753,1,0.0283,226,238,142642,271333.0,4,Bollywood
FCG Heem,44,514,387,6.0,-11.51,0,409,0.0485,461,84112,186812.0,4,Alt_Music
The Beatles,,381,214,4.0,-11629,1,0.0337,106,393,127581,3586,3,Rock
Tom The Mail Man,60,762,516,5.0,-8016,0,0.0969,0.0966,721,156.97,158000.0,4,Alt_Music
ANSON,28,357,943,4.0,-6168,0,101,145,482,147217,209682.0,4,Bollywood
Jimmy Eat World,38,576,931,7.0,-2491,1,0.0563,143,735,133986,245747.0,4,Bollywood
dempsey hope,3,0.61,482,5.0,-9137,1,137,0.0527,869,73628,147013.0,4,Country
Howie Lee,24,491,504,4.0,-13581,0,0.0566,222,145,159911,258771.0,4,Blues
Pit Pony,25,117,916,1.0,-3281,1,0.0723,219,423,151886,270205.0,4,Indie
Niko B,63,0.86,668,7.0,-8512,1,221,96,237,128096,240000.0,4,Country
Ruthi Navon,22,766,526,10.0,-11819,1,0.0392,0.0879,934,141631,238000.0,4,Bollywood
Dan + Shay,71,529,621,11.0,-6018,1,0.0296,173,617,97189,2.48178333,4,Country
Gossip,55,697,919,7.0,-6174,1,29,203,943,118341,256400.0,4,Blues
Gone Is Gone,28,407,932,11.0,-6252,1,113,229,173,102954,235214.0,4,Instrumental
Violent Soho,55,564,753,5.0,-5223,1,0.0433,167,414,152064,212547.0,4,Bollywood
Mr. Oizo,44,744,928,10.0,-5628,0,0.0495,132,507,123014,171120.0,4,Blues
Cage The Elephant,65,539,788,9.0,-3227,0,0.0396,0.29,357,159986,196173.0,4,Bollywood
Carusella,11,431,967,1.0,-4555,1,114,142,179,146623,269440.0,4,Blues
Faith No More,,545,919,2.0,-7679,1,0.0483,0.0978,386,104364,313573.0,4,Bollywood
FLO,66,266,294,7.0,-11938,0,0.0291,107,0.0397,137941,811077.0,3,Country
Pathiena,40,645,329,2.0,-16642,1,0.0419,375,184,128099,3.545833333,4,Rock
The Offspring,59,508,912,,-1798,1,0.0827,0.0669,533,139381,228587.0,4,Bollywood
Pain of Salvation,42,579,661,7.0,-4011,1,0.0422,303,374,144909,287467.0,3,Bollywood
Lenny Kravitz,,521,527,2.0,-6371,1,0.0296,106,273,122271,259627.0,4,Bollywood
Black Sabbath,16,426,619,4.0,-11501,0,0.0722,0.17,382,162721,2.80733333,4,Bollywood
The Dark Element,47,449,854,3.0,-8261,1,0.0431,246,408,152142,309827.0,4,Instrumental
Henry Gray,19,698,609,,-6993,1,0.0485,188,665,131057,232413.0,4,Pop
Eyal Golan,38,0.54,425,5.0,-9577,0,0.0518,218,239,88047,220543.0,4,Country
Noah Kahan,59,691,231,11.0,-10512,1,0.0471,103,298,85153,3.34355,4,Rock
The First Edition,57,0.58,551,9.0,-9898,0,0.0582,0.15,516,115896,201213.0,4,Bollywood
Alka Yagnik,42,565,754,8.0,-11636,0,0.0344,0.0756,922,135.01,6.05555,3,Metal
Bryan Adams,43,616,551,7.0,-7.27,1,0.0249,99,618,75027,216373.0,4,Bollywood
The Shins,62,546,878,7.0,-5137,1,0.0525,135,0.35,119945,255400.0,4,Indie
benny blanco,50,618,215,2.0,-12.8,1,0.04,109,214,90004,290466.0,4,Indie
The 1975,57,639,859,1.0,-3923,1,0.0554,0.0798,523,115.97,270104.0,4,Bollywood
Winger,60,577,676,8.0,-11931,1,0.0295,0.0625,676,95.98,245267.0,4,Instrumental
Townes Van Zandt,52,551,233,6.0,-18251,0,0.0312,0.11,659,89574,165187.0,4,Blues
Piers Faccini,28,454,387,2.0,-10159,0,0.0417,0.0783,686,97995,205533.0,4,Bollywood
Athletic Progression,37,632,0.8,5.0,-7227,0,234,147,496,92757,209833.0,4,Alt_Music
Thirty Seconds To Mars,56,295,715,2.0,-6533,1,0.0709,242,242,86937,199773.0,4,Bollywood
Pete Rock & C.L. Smooth,50,0.77,656,10.0,-11169,0,246,0.0793,788,98.82,253413.0,4,Alt_Music
Peter Case,45,717,245,7.0,-10908,0,0.0493,385,502,83554,214933.0,4,Pop
Menahan Street Band,50,778,399,1.0,-8984,1,0.0858,103,321,137305,67720.0,4,Indie
Butcher Babies,48,438,951,7.0,-5192,0,0.0736,351,461,165088,212927.0,4,Instrumental
MICROCORPS,10,451,776,3.0,-11756,0,0.0587,0.11,609,177953,331304.0,4,Blues
Sarah Palu,38,617,375,5.0,-11889,0,0.0319,109,117,151983,387547.0,4,Indie
Saltatio Mortis,54,565,768,2.0,-5332,0,0.0382,0.0725,0.58,124006,223907.0,4,Instrumental
JADHU,32,0.62,835,9.0,-6711,0,0.0319,113,699,99022,225072.0,4,Country
Bring Me The Horizon,69,589,797,9.0,-5464,1,0.15,383,232,102489,291813.0,4,Bollywood
Frost*,38,443,858,8.0,-6935,1,0.0378,0.18,0.34,169951,301533.0,4,Instrumental
Toto Espinoza,41,605,162,4.0,-12932,0,0.0353,104,126,95576,5.735216667,3,Acoustic/Folk
T-Bone Walker,30,624,0.26,1.0,-11.64,1,0.0621,0.0825,551,51.0,156933.0,4,Pop
K. J. Yesudas,7,513,658,6.0,-7185,0,0.0622,0.21,698,145896,3.181333333,4,Metal
Jimi Hendrix,71,533,905,2.0,-5.27,1,0.0754,0.0698,486,108.9,2.84688333,4,Bollywood
Eskiz,21,588,747,7.0,-6064,1,0.0498,244,263,138067,249000.0,4,Bollywood
Lowest Creature,23,487,975,11.0,-4974,1,105,201,526,139964,202019.0,4,Instrumental
Tomer Yeshayahu,30,621,375,5.0,-11.8,1,0.0297,122,508,132611,219625.0,4,Country
Neon Trees,66,482,829,5.0,-5576,1,0.0437,378,739,147.99,212307.0,4,Bollywood
JJ Lin,69,369,424,7.0,-5431,1,0.0318,184,181,179597,203991.0,4,Country
Foreign Air,50,552,673,9.0,-4.9,0,0.0298,114,174,89993,224053.0,4,Blues
S. P. Balasubrahmanyam,34,548,347,7.0,-14.7,0,0.0362,124,498,117.75,6.90355,4,Metal
Scary Kids Scaring Kids,49,421,935,8.0,-5153,0,0.0697,0.1,455,165.02,261240.0,4,Bollywood
Lawrence of Arcadia,30,524,336,2.0,-8034,1,0.0415,111,458,110964,4.757883333,5,Rock
Nirvana,65,436,876,10.0,-4902,0,0.0647,205,512,157044,255080.0,4,Indie
Berry Sakharof,17,0.5,0.47,,-7996,1,0.0345,276,346,158809,268400.0,4,Bollywood
Breezie 311,32,705,756,9.0,-5274,0,0.0415,0.0892,846,129.98,141875.0,4,Bollywood
Ghali,41,825,781,9.0,-4732,0,107,0.26,812,100013,176012.0,4,Country
Gwar,48,657,535,1.0,-9715,1,47,318,738,132257,188830.0,4,Instrumental
Downset,42,0.58,0.93,1.0,-5719,1,0.12,102,534,97917,144267.0,4,Instrumental
Blue Material,37,621,602,9.0,-7796,0,0.0279,134,609,116011,230152.0,4,Blues
Sempra,19,754,0.92,3.0,-4484,0,0.05,187,966,147998,266133.0,4,Indie
Malcolm McLaren,41,881,636,4.0,-13617,0,156,207,616,108863,259427.0,4,Alt_Music
Arcade Fire,58,282,932,9.0,-4701,1,0.0387,0.0692,536,190.08,255893.0,4,Bollywood
Bad Nerves,32,449,958,6.0,-6602,0,123,148,389,107458,129373.0,4,Blues
3 Doors Down,37,548,709,9.0,-6557,0,0.0273,104,191,119998,224213.0,4,Bollywood
ARXX,33,0.65,0.6,9.0,-10615,0,0.04,811,795,110016,180203.0,4,Bollywood
Crown Lands,39,494,969,6.0,-2694,1,222,148,165,121214,169808.0,4,Bollywood
The Undercover Dream Lovers,42,761,707,5.0,-6208,0,0.0356,0.0969,893,113976,208421.0,4,Blues
A Scent Like Wolves,39,553,939,3.0,-4.04,0,0.0795,404,369,124984,198840.0,4,Instrumental
Idan Rafael Haviv,55,417,355,,-12372,1,0.0599,113,0.0914,86078,221025.0,4,Country
Otis Junior,30,824,489,9.0,-5669,0,0.0692,0.0887,771,86815,160250.0,4,Indie
Madhav Gopi Nair,17,349,336,4.0,-11111,1,0.0292,154,62,112966,111765.0,5,Blues
The Sequence,24,921,768,,-5735,1,311,53,775,103713,652320.0,4,Alt_Music
Advaita,33,601,728,4.0,-10469,1,0.0436,368,862,137.99,5.09355,3,Rock
John Campbell,30,353,495,8.0,-11503,1,0.0344,0.13,567,81018,360600.0,4,Pop
Dan + Shay,79,748,551,11.0,-6.12,1,0.0349,119,0.66,103953,2.408883333,4,HipHop
Gymshorts,23,0.15,843,9.0,-8369,1,0.0439,665,729,180034,145932.0,4,Indie
Liz Phair,47,774,0.64,2.0,-7949,1,0.0333,88,947,136226,187933.0,4,Indie
Stephen Taranto,28,373,964,11.0,-7925,0,0.0798,109,207,83958,312363.0,4,Instrumental
Deep Purple,43,0.42,831,7.0,-9069,1,0.0754,153,752,120867,218173.0,4,Bollywood
Loyle Carner,60,428,0.98,11.0,-2975,0,443,127,423,92035,168654.0,4,Alt_Music
Nickelback,70,616,0.91,,-3004,1,0.0386,343,693,144072,252040.0,4,Bollywood
Post Malone,90,797,631,3.0,-3818,0,0.0786,0.0998,288,129915,3.07021667,4,Country
Yehudit Ravitz,20,418,761,9.0,-8285,1,0.0557,0.36,467,152472,298693.0,4,Bollywood
Olivia Rodrigo,99,563,664,9.0,-5044,1,154,0.0849,688,166928,2.96911667,4,Country
Rema,59,463,847,11.0,-6776,0,0.0511,117,625,114962,187783.0,4,Country
Charlie Puth,75,749,535,4.0,-6785,1,0.0336,0.0982,601,123042,196607.0,4,Country
Ravid Plotnik,46,709,337,7.0,-13.14,1,106,846,387,68.0,320333.0,4,Alt_Music
Ulver,33,283,0.41,4.0,-14.35,1,0.0423,109,0.0612,91127,323430.0,4,Bollywood
Alien Ant Farm,75,653,964,9.0,-4261,0,0.0582,144,0.87,126928,209267.0,4,Country
Live,57,0.45,914,6.0,-6741,1,0.0647,101,336,124.42,208293.0,4,Bollywood
Something Corporate,51,522,881,7.0,-5231,1,0.0847,0.0939,369,130084,232200.0,4,Bollywood
Buzzcocks,64,266,831,4.0,-9.07,1,0.0453,0.0555,778,175514,163693.0,4,Bollywood
Enamour,32,754,795,7.0,-9793,0,0.0384,0.0852,0.21,122007,259606.0,4,Country
mehro,52,562,494,4.0,-8.13,0,0.0278,153,383,144104,215516.0,4,Country
Christian L√∂ffler,55,163,191,10.0,-20924,1,0.0365,0.0961,0.0335,105104,220630.0,3,Indie
Mark Ronson,48,823,0.66,,-4698,1,103,269,956,114489,228493.0,4,Country
Rosie Flores,38,0.65,0.63,11.0,-6787,0,0.04,119,0.74,107.69,218747.0,4,Pop
Ayron Jones,57,475,844,1.0,-4448,0,0.0622,221,554,156136,246933.0,4,Bollywood
Dream Drop,35,375,927,6.0,-5385,0,123,193,414,183998,183040.0,4,Instrumental
Langston Hughes,10,713,146,3.0,-14163,1,0.54,212,474,89267,66490.0,5,Alt_Music
Abby Wolfe,40,676,537,10.0,-7974,1,0.0333,0.0898,388,88001,181569.0,4,Country
Eagles,72,667,755,9.0,-7246,1,69,0.0523,883,109535,4.77033333,4,Bollywood
Die Apokalyptischen Reiter,34,408,943,,-5247,1,129,343,0.16,98089,152252.0,4,Instrumental
Icon of Sin,33,494,958,4.0,-7765,0,0.0511,387,313,145055,352943.0,4,Instrumental
Spirit Adrift,32,425,925,7.0,-6246,1,105,0.0973,313,118066,282978.0,4,Instrumental
Shlomo Artzi,29,605,772,1.0,-6679,0,0.0262,131,836,129.99,280360.0,4,Bollywood
Eric B. & Rakim,48,586,795,11.0,-8.71,1,258,187,694,94101,314600.0,4,Alt_Music
"Kayla Nicole, Taylor Girlz",78,939,682,11.0,-5931,1,306,0.0552,584,130022,2.5801,4,Country
The Rapture,52,472,826,9.0,-3938,0,0.0594,187,132,122326,385920.0,4,Bollywood
A Day To Remember,64,349,981,2.0,-3228,0,141,343,207,160042,202640.0,4,Bollywood
Morgan Evans,58,645,732,3.0,-5089,1,0.0453,198,708,95.02,2.716216667,4,HipHop
Habalyanim,15,522,769,10.0,-5841,0,191,0.0643,793,189803,240307.0,4,Bollywood
Wilco,39,621,962,2.0,-6469,1,0.0454,132,653,143.99,229489.0,4,Blues
DOECHII,71,597,617,8.0,-7482,0,282,0.66,889,97923,4592,4,Country
Gabi Shoshan,27,688,544,7.0,-11393,0,37,0.0894,633,135231,240693.0,4,Bollywood
Brothers Osborne,61,614,614,4.0,-7497,0,0.0314,104,598,146.03,3.211333333,4,HipHop
Zero 9:36,51,613,0.86,4.0,-4065,1,0.0425,438,638,93042,177227.0,4,Bollywood
Róisín O,47,349,0.0929,6.0,-15315,1,0.0529,0.0864,293,176177,3.96591667,3,Rock
DIIV,43,484,754,6.0,-6326,0,0.0383,123,399,124971,265467.0,4,Bollywood
The Swellers,49,359,983,2.0,-3.69,0,0.0864,335,486,193042,239560.0,4,Bollywood
Stalos & Oren Chen,25,681,929,8.0,-4071,1,0.0324,0.0375,793,109982,229933.0,4,Country
Emery,46,274,915,1.0,-5259,0,167,161,419,169161,203707.0,4,Bollywood
Lionel Richie,22,439,682,4.0,-9044,1,42,973,345,142113,4.33955,4,Country
Oren Barzilay,17,636,616,7.0,-9267,1,0.0589,192,0.48,82.99,207030.0,4,Bollywood
Foo Fighters,73,577,604,5.0,-5703,1,0.0495,477,637,167719,263440.0,4,Bollywood
Gucci Mane,43,811,0.46,2.0,-5924,1,351,0.13,0.4,141937,216373.0,4,Alt_Music
"Luiz Bonfá, Panos Megarchiotis",40,571,158,2.0,-16835,1,0.0779,108,308,114315,3.068233333,4,Acoustic/Folk
Concha Piquer,35,658,0.12,,-9397,0,136,101,278,104208,198213.0,3,Country
Supergrass,53,282,648,9.0,-7604,0,0.0291,216,117,91536,331427.0,4,Indie
The New Respects,43,516,0.7,2.0,-5621,1,0.0631,689,343,147914,203187.0,4,Bollywood
Hadag Nahash,27,631,547,4.0,-8488,0,119,113,719,164988,204030.0,4,Country
Julia Jacklin,48,471,811,4.0,-3956,1,0.0389,117,0.37,141967,182307.0,4,Blues
Little G Weevil,37,692,102,,-11721,1,61,337,475,114136,336863.0,4,Pop
Lazy Queen,17,415,774,1.0,-6445,1,41,205,466,87415,320522.0,4,Bollywood
No Somos Marineros,33,483,603,4.0,-9907,1,0.0386,0.0911,0.0907,179392,173107.0,3,Bollywood
Ghost Town Blues Band,33,799,0.73,,-6648,1,0.0414,975,898,120336,268650.0,4,Pop
"Keethan, Pavitra Krishnan, Shravan Sridhar",34,315,565,11.0,-8667,1,0.0369,107,0.0617,99.49,3.48,4,Rock
Amaranthe,60,407,967,,-7104,1,0.0666,89,227,180027,203373.0,4,Instrumental
Acollective,37,412,0.51,6.0,-8276,0,0.0298,0.0787,0.23,147904,281093.0,4,Blues
No Memories of Tomorrow,8,579,304,2.0,-14271,0,0.0301,129,479,129867,4.34655,4,Rock
The All-American Rejects,68,553,717,7.0,-5857,1,0.0318,0.0385,318,127947,233267.0,4,Country
Nattali Rize,41,845,681,6.0,-4693,0,111,0.0519,654,86001,183694.0,4,Bollywood
Apoorva Krishna,13,293,877,7.0,-4172,1,0.0486,0.0787,0.87,171.47,317784.0,4,Blues
Ronnie Robinson Trio,38,674,335,7.0,-13903,1,0.0444,101,662,168741,2.303233333,3,Acoustic/Folk
Peled,41,706,679,7.0,-5392,0,0.0803,371,0.5,113038,195699.0,4,Alt_Music
Tay Money,65,908,663,1.0,-4032,1,359,287,399,119983,178973.0,4,Alt_Music
Allegaeon,35,556,969,2.0,-3778,1,0.0402,378,325,103994,441035.0,4,Instrumental
Quami,17,694,907,9.0,-3854,1,0.0458,0.13,573,114.98,290600.0,4,Alt_Music
Oasis,56,247,913,7.0,-2437,1,0.0388,257,0.34,91157,382267.0,4,Blues
Ghost Iris,43,489,994,1.0,-2236,0,113,333,218,90015,243000.0,4,Instrumental
Slowdive,60,276,449,4.0,-11428,1,0.0375,108,278,101687,230987.0,4,Blues
Billie Eilish,77,849,0.48,9.0,-5835,1,226,295,677,142021,2.64105,4,Country
Garbage,18,484,956,5.0,-6388,0,0.0357,257,643,145004,219541.0,4,Bollywood
Britney Spears,40,0.59,776,6.0,-5272,0,0.0705,414,0.81,159946,3.276883333,4,Country
Ruff Sqwad,37,737,649,8.0,-7709,0,142,201,579,139961,282067.0,4,Alt_Music
Shlomo Artzi,32,543,606,6.0,-10.46,0,0.0361,374,833,86537,340680.0,4,Bollywood
Manal,34,528,563,2.0,-6975,1,41,149,652,168403,254467.0,3,Pop
The Black Keys,67,365,466,2.0,-7514,1,0.0418,106,487,95163,251267.0,4,Bollywood
Noah Cyrus,83,708,186,9.0,-8953,0,42,0.0779,322,72541,156106.0,4,Country
Tomberlin,55,765,563,4.0,-9765,1,0.0397,142,703,93073,149423.0,4,Blues
The Yardbirds,46,529,861,11.0,-10581,1,0.0784,314,387,96.52,142507.0,4,Blues
Wolfmother,60,191,948,9.0,-3496,0,217,0.0945,215,150753,175667.0,4,Bollywood
Led Zeppelin,56,339,0.34,11.0,-14377,1,0.0385,375,117,142362,419133.0,4,Bollywood
Hollow Front,48,534,979,9.0,-3645,0,0.0987,256,236,119993,244000.0,4,Bollywood
San Holo,,416,623,5.0,-7898,1,45,0.27,194,130175,311625.0,4,Blues
The Beatles,72,0.49,715,7.0,-5549,1,0.0476,311,866,130726,145747.0,4,Bollywood
Beloved,30,361,954,2.0,-4097,1,0.0575,309,176,172944,232853.0,4,Bollywood
The Cult,69,0.55,765,7.0,-8684,1,0.0287,132,419,139.46,252533.0,4,Bollywood
Carach Angren,39,0.57,916,8.0,-6899,1,43,135,359,100041,183008.0,4,Instrumental
Damien,49,375,0.0412,,-21749,1,0.0444,107,127,100.74,171000.0,4,Alt_Music
Fleshkiller,20,0.45,977,1.0,-4172,1,122,414,256,130009,266222.0,3,Instrumental
Robert Counts,52,533,589,,-6.14,1,0.0299,111,351,140049,208418.0,4,Bollywood
Edgar Winter's White Trash,16,695,864,9.0,-9509,1,0.0344,222,962,129613,224707.0,4,Pop
Drake,87,781,594,,-6959,0,0.0485,162,0.0628,129895,178154.0,4,Alt_Music
Julia Kent,31,479,325,4.0,-14.01,0,0.0333,104,222,132046,211216.0,4,Indie
Michael Chapman,33,551,0.58,,-8581,1,0.0363,213,473,63321,247224.0,4,Pop
"Arthur ""Big Boy"" Crudup",30,621,118,2.0,-14222,1,0.0393,0.12,474,93082,190041.0,4,Pop
Big Brother & The Holding Company,69,443,727,4.0,-7951,1,145,169,566,160.82,253333.0,4,Bollywood
Timothy Kay Band,51,445,159,,-14159,1,0.0419,113,155,68868,5.01885,4,Acoustic/Folk
